  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
    1     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    2     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    3     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    4     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    5     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    6     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    7     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    8     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    9     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   10     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   11     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   12     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   13     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   14     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   15     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   16     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   17     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   18     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   19     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   20     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   21     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   22     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   23     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   24     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   25     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   26     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   27     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   28     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   29     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   30     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   31     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   32     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   33     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   34     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   35     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   36     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   37     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   38     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   39     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   40     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   41     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   42     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   43     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   44     0.00000     7.00000     3.50000     2.67000     0.00000     0.00000


                   LOVE WAVE        MODE #  0
        T = 0.2000E+01 C =    0.2493E+01 U   = 0.2327E+01
        AL= 0.1949E-01 GAMMA= 0.2251E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.451E-01  0.449E+00 -0.207E-01
    2   0.937E+00 -0.144E+01 -0.451E-01  0.353E+00 -0.106E-01
    3   0.755E+00 -0.270E+01 -0.451E-01  0.207E+00  0.472E-02
    4   0.478E+00 -0.361E+01 -0.451E-01  0.837E-01  0.177E-01
    5   0.141E+00 -0.408E+01  0.000E+00  0.127E-01  0.547E-02
    6   0.583E-01 -0.168E+01  0.000E+00  0.216E-02  0.935E-03
    7   0.241E-01 -0.697E+00  0.000E+00  0.370E-03  0.160E-03
    8   0.997E-02 -0.288E+00  0.000E+00  0.632E-04  0.273E-04
    9   0.412E-02 -0.119E+00  0.000E+00  0.108E-04  0.467E-05
   10   0.170E-02 -0.492E-01  0.000E+00  0.185E-05  0.798E-06
   11   0.705E-03 -0.204E-01  0.000E+00  0.316E-06  0.136E-06
   12   0.291E-03 -0.841E-02  0.000E+00  0.540E-07  0.233E-07
   13   0.120E-03 -0.348E-02  0.000E+00  0.923E-08  0.399E-08
   14   0.498E-04 -0.144E-02  0.000E+00  0.158E-08  0.682E-09
   15   0.206E-04 -0.595E-03  0.000E+00  0.270E-09  0.117E-09
   16   0.851E-05 -0.246E-03  0.000E+00  0.461E-10  0.199E-10
   17   0.352E-05 -0.102E-03  0.000E+00  0.788E-11  0.340E-11
   18   0.145E-05 -0.420E-04  0.000E+00  0.135E-11  0.582E-12
   19   0.601E-06 -0.174E-04  0.000E+00  0.230E-12  0.995E-13
   20   0.249E-06 -0.718E-05  0.000E+00  0.393E-13  0.170E-13
   21   0.103E-06 -0.297E-05  0.000E+00  0.672E-14  0.291E-14
   22   0.425E-07 -0.123E-05  0.000E+00  0.115E-14  0.497E-15
   23   0.176E-07 -0.508E-06  0.000E+00  0.196E-15  0.849E-16
   24   0.727E-08 -0.210E-06  0.000E+00  0.336E-16  0.145E-16
   25   0.300E-08 -0.868E-07  0.000E+00  0.574E-17  0.248E-17
   26   0.124E-08 -0.359E-07  0.000E+00  0.981E-18  0.424E-18
   27   0.513E-09 -0.148E-07  0.000E+00  0.168E-18  0.725E-19
   28   0.212E-09 -0.613E-08  0.000E+00  0.287E-19  0.124E-19
   29   0.878E-10 -0.254E-08  0.000E+00  0.490E-20  0.212E-20
   30   0.363E-10 -0.105E-08  0.000E+00  0.838E-21  0.362E-21
   31   0.150E-10 -0.433E-09  0.000E+00  0.143E-21  0.619E-22
   32   0.620E-11 -0.179E-09  0.000E+00  0.245E-22  0.106E-22
   33   0.256E-11 -0.741E-10  0.000E+00  0.418E-23  0.181E-23
   34   0.106E-11 -0.306E-10  0.000E+00  0.715E-24  0.309E-24
   35   0.438E-12 -0.127E-10  0.000E+00  0.122E-24  0.528E-25
   36   0.181E-12 -0.524E-11  0.000E+00  0.209E-25  0.903E-26
   37   0.749E-13 -0.216E-11  0.000E+00  0.357E-26  0.154E-26
   38   0.310E-13 -0.895E-12  0.000E+00  0.610E-27  0.264E-27
   39   0.128E-13 -0.370E-12  0.000E+00  0.104E-27  0.451E-28
   40   0.529E-14 -0.153E-12  0.000E+00  0.178E-28  0.771E-29
