  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
    1     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    2     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    3     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    4     1.00000     4.80000     2.40000     2.00000     0.00000     0.00000
    5     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    6     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    7     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    8     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
    9     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   10     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   11     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   12     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   13     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   14     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   15     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   16     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   17     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   18     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   19     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   20     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   21     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   22     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   23     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   24     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   25     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   26     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   27     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   28     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   29     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   30     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   31     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   32     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   33     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   34     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   35     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   36     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   37     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   38     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   39     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   40     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   41     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   42     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   43     1.00000     7.00000     3.50000     2.67000     0.00000     0.00000
   44     0.00000     7.00000     3.50000     2.67000     0.00000     0.00000


                      RAYLEIGH WAVE      MODE #  0
        T = 0.2000E+01 C =    0.2272E+01 U   = 0.2120E+01
        AR= 0.2292E-01 GAMMA= 0.2366E-02 ZREF= 0.0000E+00
    M       UR         TR        UZ         TZ        DC/DH      DC/DA      DC/DB      DC/DR
    1   0.628E+00  0.000E+00  0.100E+01  0.000E+00 -0.411E-01  0.371E-01  0.220E+00 -0.142E+00
    2  -0.101E+00  0.123E+02  0.991E+00 -0.923E+01 -0.411E-01  0.350E-02  0.365E+00  0.259E-01
    3  -0.231E+00  0.102E+02  0.651E+00 -0.942E+01 -0.411E-01  0.643E-03  0.239E+00  0.671E-01
    4  -0.196E+00  0.590E+01  0.310E+00 -0.778E+01 -0.411E-01  0.140E-02  0.912E-01  0.412E-01
    5  -0.395E-01  0.428E+01  0.774E-01 -0.488E+01  0.000E+00  0.362E-04  0.834E-02  0.451E-02
    6  -0.193E-01  0.196E+01  0.322E-01 -0.209E+01  0.000E+00  0.265E-05  0.163E-02  0.898E-03
    7  -0.820E-02  0.811E+00  0.126E-01 -0.837E+00  0.000E+00  0.194E-06  0.270E-03  0.150E-03
    8  -0.326E-02  0.318E+00  0.480E-02 -0.321E+00  0.000E+00  0.142E-07  0.405E-04  0.226E-04
    9  -0.125E-02  0.120E+00  0.178E-02 -0.120E+00  0.000E+00  0.104E-08  0.573E-05  0.321E-05
   10  -0.466E-03  0.445E-01  0.649E-03 -0.440E-01  0.000E+00  0.762E-10  0.779E-06  0.437E-06
   11  -0.171E-03  0.162E-01  0.234E-03 -0.159E-01  0.000E+00  0.558E-11  0.103E-06  0.579E-07
   12  -0.618E-04  0.586E-02  0.840E-04 -0.573E-02  0.000E+00  0.408E-12  0.134E-07  0.752E-08
   13  -0.222E-04  0.210E-02  0.299E-04 -0.204E-02  0.000E+00  0.299E-13  0.171E-08  0.961E-09
   14  -0.792E-05  0.747E-03  0.106E-04 -0.726E-03  0.000E+00  0.219E-14  0.216E-09  0.122E-09
   15  -0.281E-05  0.265E-03  0.375E-05 -0.257E-03  0.000E+00  0.160E-15  0.271E-10  0.153E-10
   16  -0.994E-06  0.936E-04  0.132E-05 -0.906E-04  0.000E+00  0.117E-16  0.338E-11  0.190E-11
   17  -0.351E-06  0.330E-04  0.465E-06 -0.319E-04  0.000E+00  0.860E-18  0.419E-12  0.236E-12
   18  -0.123E-06  0.116E-04  0.163E-06 -0.112E-04  0.000E+00  0.630E-19  0.518E-13  0.292E-13
   19  -0.434E-07  0.408E-05  0.573E-07 -0.394E-05  0.000E+00  0.461E-20  0.639E-14  0.361E-14
   20  -0.152E-07  0.143E-05  0.201E-07 -0.138E-05  0.000E+00  0.338E-21  0.787E-15  0.444E-15
   21  -0.534E-08  0.502E-06  0.705E-08 -0.484E-06  0.000E+00  0.247E-22  0.967E-16  0.546E-16
   22  -0.187E-08  0.176E-06  0.247E-08 -0.170E-06  0.000E+00  0.181E-23  0.119E-16  0.670E-17
   23  -0.656E-09  0.616E-07  0.864E-09 -0.594E-07  0.000E+00  0.133E-24  0.146E-17  0.822E-18
   24  -0.230E-09  0.216E-07  0.302E-09 -0.208E-07  0.000E+00  0.971E-26  0.178E-18  0.101E-18
   25  -0.804E-10  0.754E-08  0.106E-09 -0.727E-08  0.000E+00  0.711E-27  0.218E-19  0.123E-19
   26  -0.281E-10  0.264E-08  0.370E-10 -0.254E-08  0.000E+00  0.521E-28  0.267E-20  0.151E-20
   27  -0.984E-11  0.923E-09  0.130E-10 -0.890E-09  0.000E+00  0.381E-29  0.327E-21  0.185E-21
   28  -0.344E-11  0.323E-09  0.453E-11 -0.311E-09  0.000E+00  0.279E-30  0.401E-22  0.226E-22
   29  -0.120E-11  0.113E-09  0.158E-11 -0.109E-09  0.000E+00  0.204E-31  0.490E-23  0.277E-23
   30  -0.421E-12  0.395E-10  0.554E-12 -0.381E-10  0.000E+00  0.150E-32  0.599E-24  0.338E-24
   31  -0.147E-12  0.138E-10  0.194E-12 -0.133E-10  0.000E+00  0.110E-33  0.733E-25  0.414E-25
   32  -0.515E-13  0.483E-11  0.678E-13 -0.466E-11  0.000E+00  0.802E-35  0.896E-26  0.506E-26
   33  -0.180E-13  0.169E-11  0.237E-13 -0.163E-11  0.000E+00  0.000E+00  0.110E-26  0.619E-27
   34  -0.630E-14  0.591E-12  0.828E-14 -0.569E-12  0.000E+00  0.000E+00  0.134E-27  0.757E-28
   35  -0.220E-14  0.207E-12  0.290E-14 -0.199E-12  0.000E+00  0.000E+00  0.164E-28  0.925E-29
   36  -0.770E-15  0.723E-13  0.101E-14 -0.696E-13  0.000E+00  0.000E+00  0.200E-29  0.113E-29
   37  -0.269E-15  0.253E-13  0.354E-15 -0.243E-13  0.000E+00  0.000E+00  0.245E-30  0.138E-30
   38  -0.942E-16  0.883E-14  0.124E-15 -0.851E-14  0.000E+00  0.000E+00  0.300E-31  0.169E-31
   39  -0.329E-16  0.309E-14  0.433E-16 -0.298E-14  0.000E+00  0.000E+00  0.366E-32  0.207E-32
   40  -0.115E-16  0.108E-14  0.151E-16 -0.104E-14  0.000E+00  0.000E+00  0.448E-33  0.253E-33
